V01301 V04001 V04002 V04003 V13305 V10004_701 V11291_701 V12001_701 V13003_701 V14032
54423 2000 8 6 0.0000 967.0000 0.5000 26.9000 66.0000 9.6000 
54423 2000 8 7 0.0000 966.7000 1.0000 27.4000 61.0000 9.6000 
54423 2000 8 8 29.4000 966.1000 0.0000 22.5000 88.0000 0.0000 
54423 2000 8 9 39.9000 961.9000 1.0000 24.1000 88.0000 1.2000 
54423 2000 8 10 4.0000 961.3000 0.3000 25.1000 85.0000 6.5000 
54423 2000 8 11 1.6000 962.6000 0.3000 25.9000 77.0000 5.7000 
54423 2000 8 12 999990.0000 964.2000 0.5000 25.3000 84.0000 0.2000 
54423 2000 8 13 2.3000 962.8000 1.0000 24.2000 85.0000 5.2000 
54423 2000 8 14 0.0000 959.8000 0.8000 26.2000 75.0000 9.5000 
54423 2000 8 15 0.0000 959.0000 0.5000 26.2000 63.0000 11.8000 
54423 2000 8 16 0.0000 960.4000 0.3000 24.8000 67.0000 12.1000 
54423 2000 8 17 1.3000 967.2000 0.0000 22.8000 75.0000 0.0000 
54423 2000 8 18 2.5000 968.7000 1.3000 21.0000 82.0000 1.7000 
54423 2000 8 19 1.3000 967.0000 0.5000 19.0000 89.0000 0.0000 
54423 2000 8 20 0.8000 966.8000 1.3000 20.4000 70.0000 11.3000 
54423 2000 8 21 0.0000 966.5000 1.0000 19.8000 70.0000 12.3000 
54423 2000 8 22 2.1000 966.4000 0.0000 18.7000 85.0000 2.3000 
54423 2000 8 23 999990.0000 965.5000 0.8000 22.3000 78.0000 9.2000 
54423 2000 8 24 0.0000 966.7000 0.5000 22.2000 69.0000 11.1000 
54423 2000 8 25 0.0000 965.3000 0.0000 22.6000 65.0000 11.6000 
54423 2000 8 26 51.4000 964.9000 0.3000 22.3000 75.0000 9.4000 
54423 2000 8 27 1.7000 968.4000 0.0000 21.6000 85.0000 3.1000 
54423 2000 8 28 4.7000 969.5000 0.5000 21.6000 86.0000 4.3000 
54423 2000 8 29 0.0000 967.2000 1.3000 22.3000 76.0000 10.7000 
54423 2000 8 30 0.0000 966.4000 0.5000 20.5000 85.0000 0.0000 
54423 2000 8 31 0.0000 962.5000 0.0000 21.4000 79.0000 8.4000 
54423 2000 9 1 0.0000 962.4000 0.5000 22.2000 77.0000 11.0000 
54423 2000 9 2 0.0000 967.0000 0.5000 23.7000 70.0000 11.1000 
54423 2000 9 3 0.0000 968.3000 0.5000 23.1000 75.0000 9.2000 
54423 2000 9 4 7.8000 968.7000 1.3000 19.9000 86.0000 0.0000 
54423 2000 9 5 6.0000 973.0000 1.5000 17.1000 63.0000 7.8000 
54423 2000 9 6 0.0000 972.6000 0.5000 14.4000 60.0000 12.0000 
54423 2000 9 7 0.0000 971.8000 0.5000 15.2000 71.0000 11.4000 
54423 2000 9 8 0.0000 972.6000 0.5000 16.9000 65.0000 10.5000 
54423 2000 9 9 0.0000 973.2000 0.0000 16.4000 71.0000 11.5000 
54423 2000 9 10 0.0000 972.1000 0.0000 16.6000 64.0000 11.8000 
54423 2000 9 11 0.0000 970.4000 0.0000 18.6000 61.0000 10.6000 
54423 2000 9 12 0.0000 973.6000 0.0000 16.8000 68.0000 9.2000 
54423 2000 9 13 0.0000 974.6000 0.8000 17.0000 68.0000 9.0000 
54423 2000 9 14 0.0000 972.4000 0.3000 17.7000 66.0000 10.7000 
